Year,JulianDay,NumMon,Month,Day,Date,MeanAirTemperature,TotalRainfall(mm/d),TotalSnowfall(mm/deqv.),TotalPrecipitation(mm/d),MeanQ(m3/s),MeanQmm/day
1993,1,1,Jan,1,1993-01-01,-17.7,0,0,0,3.09,0.22434958
1993,2,1,Jan,2,1993-01-02,-16.7,0,0,0,3.16,0.229431933
1993,3,1,Jan,3,1993-01-03,-14.7,0,2.8,2.8,3.24,0.235240336
1993,4,1,Jan,4,1993-01-04,-20,0,1.4,1.4,3.31,0.240322689
1993,5,1,Jan,5,1993-01-05,-23.9,0,0,0,3.38,0.245405042
1993,6,1,Jan,6,1993-01-06,-17.8,0,0,0,3.42,0.248309244
1993,7,1,Jan,7,1993-01-07,-15.6,0,2.3,2.3,3.42,0.248309244
1993,8,1,Jan,8,1993-01-08,-18.3,0,0.9,0.9,3.37,0.244678992
1993,9,1,Jan,9,1993-01-09,-23.1,0,0,0,3.31,0.240322689
1993,10,1,Jan,10,1993-01-10,-22.4,0,0,0,3.20,0.232336134
1993,11,1,Jan,11,1993-01-11,-23,0,0,0,3.14,0.227979832
1993,12,1,Jan,12,1993-01-12,-23.5,0,0,0,3.03,0.219993277
1993,13,1,Jan,13,1993-01-13,-21.7,0,0,0,2.97,0.215636975
1993,14,1,Jan,14,1993-01-14,-13.4,0,0.5,0.5,2.86,0.20765042
1993,15,1,Jan,15,1993-01-15,-7.1,0,0,0,2.80,0.203294118
1993,16,1,Jan,16,1993-01-16,-9.3,0,0,0,2.74,0.198937815
1993,17,1,Jan,17,1993-01-17,-10.4,0,0,0,2.74,0.198937815
1993,18,1,Jan,18,1993-01-18,-9,0,0,0,2.77,0.201115966
1993,19,1,Jan,19,1993-01-19,-5,0,0,0,2.80,0.203294118
1993,20,1,Jan,20,1993-01-20,-0.2,0,0,0,2.86,0.20765042
1993,21,1,Jan,21,1993-01-21,-3.9,0,0,0,2.97,0.215636975
1993,22,1,Jan,22,1993-01-22,-11,0,0,0,3.20,0.232336134
1993,23,1,Jan,23,1993-01-23,-12.1,0,0,0,3.37,0.244678992
1993,24,1,Jan,24,1993-01-24,-5.6,0,0,0,3.78,0.274447059
1993,25,1,Jan,25,1993-01-25,1,0,0,0,3.83,0.278077311
1993,26,1,Jan,26,1993-01-26,1.4,0,0,0,4.10,0.297680672
1993,27,1,Jan,27,1993-01-27,-5,0,1.9,1.9,4.27,0.310023529
1993,28,1,Jan,28,1993-01-28,-8,0,0,0,4.39,0.318736134
1993,29,1,Jan,29,1993-01-29,-1.2,0,0,0,4.44,0.322366387
1993,30,1,Jan,30,1993-01-30,4.8,0,0,0,4.50,0.326722689
1993,31,1,Jan,31,1993-01-31,5,0,0,0,4.56,0.331078992
1993,32,2,Feb,1,1993-02-01,3.9,0,0,0,4.56,0.331078992
1993,33,2,Feb,2,1993-02-02,0.1,0,0,0,4.50,0.326722689
1993,34,2,Feb,3,1993-02-03,2.5,0,0,0,4.44,0.322366387
1993,35,2,Feb,4,1993-02-04,2.1,0,0,0,4.39,0.318736134
1993,36,2,Feb,5,1993-02-05,4.1,0,0,0,4.22,0.306393277
1993,37,2,Feb,6,1993-02-06,3.4,0,0,0,4.05,0.29405042
1993,38,2,Feb,7,1993-02-07,0.8,0,0,0,3.88,0.281707563
1993,39,2,Feb,8,1993-02-08,-2.6,0,1.8,1.8,3.65,0.265008403
1993,40,2,Feb,9,1993-02-09,-9.7,0,5.5,5.5,3.42,0.248309244
1993,41,2,Feb,10,1993-02-10,-12.5,0,0,0,3.22,0.233788235
1993,42,2,Feb,11,1993-02-11,-8.6,0,0,0,3.02,0.219267227
1993,43,2,Feb,12,1993-02-12,-8,0,0,0,2.81,0.204020168
1993,44,2,Feb,13,1993-02-13,-8.4,0,7.3,7.3,2.61,0.18949916
1993,45,2,Feb,14,1993-02-14,-14.4,0,1.8,1.8,2.40,0.174252101
1993,46,2,Feb,15,1993-02-15,-20.6,0,1.8,1.8,2.23,0.161909244
1993,47,2,Feb,16,1993-02-16,-18.9,0,0,0,2.12,0.153922689
1993,48,2,Feb,17,1993-02-17,-14.9,0,0,0,2.02,0.146662185
1993,49,2,Feb,18,1993-02-18,-15.5,0,2.8,2.8,2.01,0.145936134
1993,50,2,Feb,19,1993-02-19,-13.5,0,6,6,2.01,0.145936134
1993,51,2,Feb,20,1993-02-20,-15.8,0,1.4,1.4,2.03,0.147388235
1993,52,2,Feb,21,1993-02-21,-21.3,0,0,0,2.06,0.149566387
1993,53,2,Feb,22,1993-02-22,-19,0,0.9,0.9,2.18,0.158278992
1993,54,2,Feb,23,1993-02-23,-19.4,0,0,0,2.29,0.166265546
1993,55,2,Feb,24,1993-02-24,-15.4,0,0,0,2.40,0.174252101
1993,56,2,Feb,25,1993-02-25,-9.8,0,0,0,2.74,0.198937815
1993,57,2,Feb,26,1993-02-26,-6.1,0,0,0,2.97,0.215636975
1993,58,2,Feb,27,1993-02-27,1.9,0,0,0,3.08,0.223623529
1993,59,2,Feb,28,1993-02-28,6.5,0,0,0,2.97,0.215636975
1993,60,3,Mar,1,1993-03-01,4.9,0,0,0,2.69,0.195307563
1993,61,3,Mar,2,1993-03-02,1.8,0,0,0,2.52,0.182964706
1993,62,3,Mar,3,1993-03-03,-0.9,0,0,0,2.40,0.174252101
1993,63,3,Mar,4,1993-03-04,2.3,0,0,0,2.97,0.215636975
1993,64,3,Mar,5,1993-03-05,3.8,0,0,0,3.42,0.248309244
1993,65,3,Mar,6,1993-03-06,6,0,0,0,4.10,0.297680672
1993,66,3,Mar,7,1993-03-07,0.3,0,0,0,4.22,0.306393277
1993,67,3,Mar,8,1993-03-08,-0.1,0,8.3,8.3,4.14,0.300584874
1993,68,3,Mar,9,1993-03-09,-3.5,0,4.6,4.6,3.88,0.281707563
1993,69,3,Mar,10,1993-03-10,-7.2,0,3.2,3.2,3.76,0.272994958
1993,70,3,Mar,11,1993-03-11,-9.7,0,0,0,3.65,0.265008403
1993,71,3,Mar,12,1993-03-12,-9.6,0,0,0,3.54,0.257021849
1993,72,3,Mar,13,1993-03-13,-6.1,0,0,0,3.42,0.248309244
1993,73,3,Mar,14,1993-03-14,-1.5,0,12.9,12.9,3.31,0.240322689
1993,74,3,Mar,15,1993-03-15,-12.9,0,7.8,7.8,3.25,0.235966387
1993,75,3,Mar,16,1993-03-16,-17.3,0,0,0,3.25,0.235966387
1993,76,3,Mar,17,1993-03-17,-9.8,0,0,0,3.31,0.240322689
1993,77,3,Mar,18,1993-03-18,-5.1,0,11.1,11.1,3.42,0.248309244
1993,78,3,Mar,19,1993-03-19,-6.6,0,0,0,3.54,0.257021849
1993,79,3,Mar,20,1993-03-20,-2.9,0,0,0,3.76,0.272994958
1993,80,3,Mar,21,1993-03-21,1.9,0,0,0,6.20,0.450151261
1993,81,3,Mar,22,1993-03-22,5.7,0,0,0,8.64,0.627307563
1993,82,3,Mar,23,1993-03-23,7.8,0,0,0,6.37,0.462494118
1993,83,3,Mar,24,1993-03-24,3.3,0,0,0,5.92,0.429821849
1993,84,3,Mar,25,1993-03-25,1.5,6.5,0,6.5,5.60,0.406588235
1993,85,3,Mar,26,1993-03-26,-1.3,0,3.2,3.2,5.31,0.385532773
1993,86,3,Mar,27,1993-03-27,-1.4,0,4.2,4.2,5.09,0.369559664
1993,87,3,Mar,28,1993-03-28,-1.2,0,0,0,4.86,0.352860504
1993,88,3,Mar,29,1993-03-29,-1.7,0,0,0,4.67,0.339065546
1993,89,3,Mar,30,1993-03-30,-0.1,0,0,0,4.55,0.330352941
1993,90,3,Mar,31,1993-03-31,1.8,0,0,0,4.56,0.331078992
1993,91,4,Apr,1,1993-04-01,3.5,0,0,0,7.07,0.513317647
1993,92,4,Apr,2,1993-04-02,3.9,0,0,0,8.63,0.626581513
1993,93,4,Apr,3,1993-04-03,4.8,0,0,0,8.10,0.58810084
1993,94,4,Apr,4,1993-04-04,4.5,0,0,0,8.14,0.591005042
1993,95,4,Apr,5,1993-04-05,2.9,8.8,0,8.8,7.46,0.541633613
1993,96,4,Apr,6,1993-04-06,2.4,0.4,0,0.4,6.36,0.461768067
1993,97,4,Apr,7,1993-04-07,1.3,0,0,0,5.87,0.426191597
1993,98,4,Apr,8,1993-04-08,3.4,0,0,0,5.52,0.400779832
1993,99,4,Apr,9,1993-04-09,5.3,0,0,0,5.96,0.43272605
